,Topic,TweetId,AuthorId,AuthorName,AuthorUsername,#urls,urls,Text,canonical_urls
3,4.0,1476954565450903553,47878087,Jennifer Hall,JDHall_35402,0,https://t.co/2A7wLyid3X?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign this petition to pressure the Senate to END fossil fuel subsidies https://t.co/2A7wLyid3X?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
4,4.0,1476922966893948928,1450838788037496836,Dennis Landi,DennisLandi2,0,https://t.co/OD7YqPO5SP?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the Senate to END fossil fuel subsidies https://t.co/OD7YqPO5SP?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
7,4.0,1476798432949858306,1269149246,SAVE AMERICA,vietthanhsports,0,https://t.co/SAKgz7OEZy?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the Senate to END fossil fuel subsidies https://t.co/SAKgz7OEZy?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
10,4.0,1476687897466130434,1618504489,Nelson,NelsonAPike,0,https://t.co/1Zk40ByoVK?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the Senate to END fossil fuel subsidies https://t.co/1Zk40ByoVK?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
13,4.0,1476665368362029061,1467015279171538944,steve oconnor,steveoreno111,0,https://t.co/l9VqmE033n?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the Senate to END fossil fuel subsidies https://t.co/l9VqmE033n?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
14,4.0,1476665294802280462,44634164,Chris Beal,dancingcatman,0,https://t.co/U1ltUNQsfC?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the Senate to END fossil fuel subsidies https://t.co/U1ltUNQsfC?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
15,4.0,1476664022325997570,1928171318,Linda Cave,thecavewoman10,0,https://t.co/7ofG7dG2HM?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the Senate to END fossil fuel subsidies https://t.co/7ofG7dG2HM?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
16,4.0,1476658855530708997,2290531778,Michael Bechard,MichaelBechard1,0,https://t.co/GOD5gQ4MVR?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the Senate to END fossil fuel subsidies https://t.co/GOD5gQ4MVR?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
17,4.0,1476656675117486082,1428029466161389574,Lisa Stands with Ukraine,LisaShe41591429,0,https://t.co/nfVQRNBr72,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the @SenateDems &amp; @SenateGOP to END fossil fuel subsidies? https://t.co/nfVQRNBr72",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
18,4.0,1476654831163129860,19417031,Bill Rubin,Vision_Quest,0,https://t.co/1yzIPPOoUy?,"Each year, the government gives over $15 billion in taxpayer-funded subsidies to fossil fuel corporations who contribute to the climate crisis like Exxon. 

Will you sign our petition to pressure the Senate to END fossil fuel subsidies https://t.co/1yzIPPOoUy?",https://act.greennewdealnetwork.org/signup/end-fossil-fuel-subsidies
